Id_Estudiante,Programa,Satisfaccion_general,Infraestructura,Calidad_docente,Apoyo_institucional
ID_EST_00114,Derecho,1,5,5,1
ID_EST_00115,Derecho,4,1,4,3
ID_EST_00116,Derecho,3,1,3,1
ID_EST_00117,Derecho,2,5,5,5
ID_EST_00118,Derecho,5,1,3,5
ID_EST_00119,Derecho,4,3,1,1
ID_EST_00120,Derecho,2,4,3,3
ID_EST_00121,Derecho,3,3,1,1
ID_EST_00122,Derecho,3,4,1,1
ID_EST_00123,Derecho,3,4,4,1
ID_EST_00124,Derecho,2,4,1,2
ID_EST_00125,Derecho,5,5,4,4
ID_EST_00126,Derecho,2,3,4,4
ID_EST_00127,Derecho,1,4,5,5
ID_EST_00128,Derecho,5,4,5,4
ID_EST_00129,Derecho,4,4,2,2
ID_EST_00130,Derecho,3,2,1,1
ID_EST_00131,Derecho,3,3,3,3
ID_EST_00132,Derecho,1,4,5,4
ID_EST_00133,Derecho,2,1,3,1
ID_EST_00134,Derecho,3,5,1,3
ID_EST_00135,Derecho,4,2,1,5
ID_EST_00136,Derecho,1,2,1,5
ID_EST_00137,Derecho,2,3,2,1
ID_EST_00138,Derecho,2,3,1,5
ID_EST_00139,Derecho,5,4,5,1
ID_EST_00140,Derecho,2,3,5,4
ID_EST_00141,Derecho,3,5,5,5
ID_EST_00142,Derecho,5,3,3,3
ID_EST_00143,Derecho,4,5,2,3
ID_EST_00144,Derecho,1,2,3,5
ID_EST_00145,Derecho,2,3,2,3
ID_EST_00146,Derecho,4,2,5,5
ID_EST_00147,Derecho,1,3,1,3
ID_EST_00148,Derecho,4,3,5,4
ID_EST_00149,Derecho,1,1,2,1
ID_EST_00150,Derecho,3,1,5,2
ID_EST_00151,Derecho,2,4,5,2
ID_EST_00152,Derecho,2,5,4,1
ID_EST_00153,Derecho,3,5,1,3
ID_EST_00154,Derecho,1,1,4,2
ID_EST_00155,Derecho,3,1,3,4
ID_EST_00156,Derecho,4,3,1,1
ID_EST_00157,Derecho,3,3,5,5
ID_EST_00158,Derecho,3,3,1,4
ID_EST_00159,Derecho,1,4,3,5
ID_EST_00160,Derecho,2,2,3,3
ID_EST_00161,Derecho,3,5,4,1
ID_EST_00162,Derecho,2,3,3,2
ID_EST_00163,Derecho,5,4,3,3
ID_EST_00164,Derecho,1,2,3,5
ID_EST_00165,Derecho,4,3,1,2
ID_EST_00166,Derecho,3,5,3,4
ID_EST_00167,Derecho,5,1,3,2
ID_EST_00168,Derecho,5,1,2,2
ID_EST_00169,Derecho,1,4,4,4
ID_EST_00170,Derecho,3,4,2,5
ID_EST_00171,Derecho,3,5,3,3
ID_EST_00172,Derecho,2,3,3,2
ID_EST_00173,Derecho,2,2,4,3
ID_EST_00174,Derecho,3,4,3,4
ID_EST_00175,Derecho,5,5,5,4
ID_EST_00176,Derecho,2,1,4,1
ID_EST_00177,Derecho,1,4,4,3
ID_EST_00178,Derecho,2,5,1,1
ID_EST_00179,Derecho,5,5,5,4
ID_EST_00180,Derecho,2,4,4,1
ID_EST_00181,Derecho,4,2,5,5
ID_EST_00182,Derecho,1,2,5,1
ID_EST_00183,Derecho,2,3,5,3
ID_EST_00184,Derecho,2,2,3,3
ID_EST_00185,Derecho,4,3,4,1
ID_EST_00186,Derecho,1,1,4,1
ID_EST_00187,Derecho,2,2,5,2
ID_EST_00188,Derecho,1,4,3,3
ID_EST_00189,Derecho,3,3,4,2
ID_EST_00190,Derecho,3,2,2,1
ID_EST_00191,Derecho,1,2,3,3
ID_EST_00192,Derecho,4,2,2,4
ID_EST_00193,Derecho,4,3,4,3
ID_EST_00194,Derecho,1,2,5,3
ID_EST_00195,Derecho,4,4,1,1
ID_EST_00196,Derecho,2,2,5,2
ID_EST_00197,Derecho,1,2,4,5
ID_EST_00198,Derecho,3,2,4,5
ID_EST_00199,Derecho,1,3,2,2
ID_EST_00200,Derecho,3,1,3,3
ID_EST_00201,Derecho,4,4,2,5
ID_EST_00202,Derecho,3,5,3,2
ID_EST_00203,Derecho,5,3,3,5
ID_EST_00204,Derecho,3,3,5,1
ID_EST_00205,Derecho,5,3,4,1
ID_EST_00206,Derecho,5,2,3,4
ID_EST_00207,Derecho,1,3,2,1
ID_EST_00208,Derecho,3,3,2,1
ID_EST_00209,Derecho,5,5,4,2
ID_EST_00210,Derecho,4,5,4,1
ID_EST_00211,Derecho,3,2,4,5
ID_EST_00212,Derecho,2,5,4,5
ID_EST_00213,Derecho,5,3,2,4
ID_EST_00214,Derecho,1,3,2,3
ID_EST_00215,Derecho,1,5,3,5
ID_EST_00216,Derecho,2,1,1,5
ID_EST_00217,Derecho,5,1,5,2
ID_EST_00218,Derecho,2,3,5,4
ID_EST_00219,Derecho,2,3,4,3
ID_EST_00220,Derecho,4,3,5,5
ID_EST_00221,Derecho,3,3,2,4
ID_EST_00222,Derecho,5,1,1,4
ID_EST_00223,Derecho,4,5,2,5
ID_EST_00224,Derecho,5,5,1,2
ID_EST_00225,Derecho,5,1,4,3
ID_EST_00226,Derecho,2,4,5,1
ID_EST_00227,Derecho,1,3,2,1
ID_EST_00228,Derecho,4,5,2,4
ID_EST_00229,Derecho,3,2,2,2
ID_EST_00230,Derecho,5,2,3,4
ID_EST_00231,Derecho,5,1,5,1
ID_EST_00232,Derecho,4,5,5,5
ID_EST_00233,Derecho,2,2,2,5
ID_EST_00234,Derecho,3,3,1,4
ID_EST_00235,Derecho,5,4,1,1
ID_EST_00236,Derecho,2,3,3,3
ID_EST_00237,Derecho,4,2,5,3
ID_EST_00238,Derecho,1,2,2,1
ID_EST_00239,Derecho,2,1,4,4
ID_EST_00240,Derecho,4,3,1,5
ID_EST_00241,Derecho,1,3,3,3
ID_EST_00242,Derecho,4,2,4,3
ID_EST_00243,Derecho,3,4,5,2
ID_EST_00244,Derecho,4,2,3,4
ID_EST_00245,Derecho,5,5,5,2
ID_EST_00246,Derecho,5,3,5,2
ID_EST_00247,Derecho,2,1,4,5
ID_EST_00248,Derecho,5,5,5,4
ID_EST_00249,Derecho,1,5,4,4
ID_EST_00250,Derecho,1,3,5,5
ID_EST_00251,Derecho,1,4,5,5
ID_EST_00252,Derecho,4,2,2,4
ID_EST_00253,Derecho,3,2,4,4
ID_EST_00254,Derecho,3,1,3,3
ID_EST_00255,Derecho,3,3,4,4
ID_EST_00256,Derecho,5,4,1,2
ID_EST_00257,Derecho,2,2,3,4
ID_EST_00258,Derecho,1,3,1,5
ID_EST_00259,Derecho,3,4,2,1
ID_EST_00260,Derecho,2,5,5,2
ID_EST_00261,Derecho,5,5,2,4
ID_EST_00262,Derecho,2,4,5,5
ID_EST_00263,Derecho,4,4,1,2
ID_EST_00264,Derecho,3,3,2,3
ID_EST_00265,Derecho,3,4,3,4
ID_EST_00266,Derecho,3,3,3,2
ID_EST_00267,Derecho,1,1,5,3
ID_EST_00268,Derecho,3,4,3,3
ID_EST_00269,Derecho,3,1,4,2
ID_EST_00270,Derecho,4,3,4,4
ID_EST_00271,Derecho,5,2,4,2
ID_EST_00272,Derecho,1,3,1,5
ID_EST_00273,Derecho,5,4,1,5
ID_EST_00274,Derecho,3,3,1,5
ID_EST_00275,Derecho,2,1,5,5
ID_EST_00276,Derecho,4,5,3,4
ID_EST_00277,Derecho,4,2,5,5
ID_EST_00278,Derecho,5,1,3,2
ID_EST_00279,Derecho,1,5,3,1
ID_EST_00280,Derecho,4,2,4,1
ID_EST_00281,Derecho,1,4,1,3
ID_EST_00282,Derecho,5,5,3,4
ID_EST_00283,Derecho,4,4,5,4
ID_EST_00284,Derecho,1,5,3,2
ID_EST_00285,Derecho,4,2,1,3
ID_EST_00286,Derecho,2,1,1,5
ID_EST_00287,Derecho,3,1,5,1
ID_EST_00288,Derecho,1,2,1,4
ID_EST_00289,Derecho,5,1,1,4
ID_EST_00290,Derecho,2,3,3,3
ID_EST_00291,Derecho,1,2,1,4
ID_EST_00292,Derecho,2,3,2,5
ID_EST_00293,Derecho,3,3,3,5
ID_EST_00294,Derecho,5,2,2,4
ID_EST_00295,Derecho,1,1,4,4
ID_EST_00296,Derecho,3,5,2,3
ID_EST_00297,Derecho,5,3,1,2
ID_EST_00298,Derecho,2,5,3,4
ID_EST_00299,Derecho,5,4,4,2
ID_EST_00300,Derecho,1,4,4,2
ID_EST_00301,Derecho,4,5,4,5
ID_EST_00302,Derecho,1,4,1,2
ID_EST_00303,Derecho,2,4,3,5
ID_EST_00304,Derecho,3,3,3,2
ID_EST_00305,Derecho,4,1,3,5
ID_EST_00306,Derecho,4,4,2,4
ID_EST_00307,Derecho,1,2,1,5
ID_EST_00308,Derecho,3,2,1,4
ID_EST_00309,Derecho,4,3,1,5
ID_EST_00310,Derecho,1,5,5,4
ID_EST_00311,Derecho,2,3,3,1
ID_EST_00312,Derecho,1,5,5,3
ID_EST_00313,Derecho,1,3,1,4
ID_EST_00314,Derecho,1,4,5,4
ID_EST_00315,Derecho,5,4,4,2
ID_EST_00316,Derecho,2,1,3,2
ID_EST_00317,Derecho,5,1,5,1
ID_EST_00318,Derecho,1,4,1,3
ID_EST_00319,Derecho,5,3,4,4
ID_EST_00320,Derecho,3,3,3,5
ID_EST_00321,Derecho,2,1,5,2
ID_EST_00322,Derecho,5,1,3,5
ID_EST_00323,Derecho,1,5,2,4
ID_EST_00324,Derecho,3,4,1,5
ID_EST_00325,Derecho,1,1,3,1
ID_EST_00326,Derecho,5,3,4,4
ID_EST_00327,Derecho,4,5,1,3
ID_EST_00328,Derecho,4,1,4,5
ID_EST_00329,Derecho,2,3,1,2
ID_EST_00330,Derecho,2,3,1,1
ID_EST_00331,Derecho,1,4,2,4
ID_EST_00332,Derecho,4,1,3,2
ID_EST_00333,Derecho,1,4,5,4
ID_EST_00334,Derecho,4,1,2,4
ID_EST_00335,Derecho,2,5,2,3
ID_EST_00336,Derecho,4,2,3,4
ID_EST_00337,Derecho,2,2,2,4
ID_EST_00338,Derecho,4,5,1,5
ID_EST_00339,Derecho,3,2,5,2
ID_EST_00340,Derecho,1,3,1,1
ID_EST_00341,Derecho,2,5,4,5
ID_EST_00342,Derecho,5,4,5,1
ID_EST_00343,Derecho,3,1,2,2
ID_EST_00344,Derecho,3,5,2,4
ID_EST_00345,Derecho,1,3,2,5
ID_EST_00346,Derecho,4,4,1,2
ID_EST_00347,Derecho,5,1,5,1
ID_EST_00348,Derecho,3,5,4,1
ID_EST_00349,Derecho,5,3,3,1
ID_EST_00350,Derecho,4,3,5,3
ID_EST_00351,Derecho,5,1,3,5
ID_EST_00352,Derecho,3,5,1,3
ID_EST_00353,Derecho,2,4,2,4
ID_EST_00354,Derecho,3,1,1,5
ID_EST_00355,Derecho,3,1,1,4
ID_EST_00356,Derecho,3,1,3,3
ID_EST_00357,Derecho,1,4,4,4
ID_EST_00358,Derecho,4,3,3,2
ID_EST_00359,Derecho,4,4,3,3
ID_EST_00360,Derecho,2,3,3,2
ID_EST_00361,Derecho,1,1,5,2
ID_EST_00362,Derecho,5,4,2,3
ID_EST_00363,Derecho,2,5,5,4
ID_EST_00364,Derecho,3,3,4,1
ID_EST_00365,Derecho,2,4,2,2
ID_EST_00366,Derecho,1,4,1,5
ID_EST_00367,Derecho,4,1,4,1
ID_EST_00368,Derecho,2,2,4,2
ID_EST_00369,Derecho,1,4,4,1
ID_EST_00370,Derecho,5,3,2,5
ID_EST_00371,Derecho,1,4,3,1
ID_EST_00372,Derecho,5,5,4,2
ID_EST_00373,Derecho,4,2,5,5
ID_EST_00374,Derecho,1,4,2,2
ID_EST_00375,Derecho,4,2,1,5
ID_EST_00376,Derecho,1,5,3,3
ID_EST_00377,Derecho,3,3,3,2
ID_EST_00378,Derecho,3,4,3,5
ID_EST_00379,Derecho,5,1,5,5
ID_EST_00380,Derecho,2,1,2,2
ID_EST_00381,Derecho,4,3,4,4
ID_EST_00382,Derecho,1,4,4,1
ID_EST_00383,Derecho,1,2,1,5
ID_EST_00384,Derecho,4,1,3,4
ID_EST_00385,Derecho,3,4,4,2
ID_EST_00386,Derecho,5,4,1,2
ID_EST_00387,Derecho,1,4,3,2
ID_EST_00388,Derecho,2,4,3,1
ID_EST_00389,Derecho,1,4,1,4
ID_EST_00390,Derecho,2,4,3,2
ID_EST_00391,Derecho,4,4,1,3
ID_EST_00392,Derecho,4,5,3,4
ID_EST_00393,Derecho,4,2,3,3
ID_EST_00394,Derecho,2,2,4,2
ID_EST_00395,Derecho,3,5,3,1
ID_EST_00396,Derecho,3,3,1,1
ID_EST_00397,Derecho,2,4,4,1
ID_EST_00398,Derecho,3,5,4,4
ID_EST_00399,Derecho,3,5,4,5
ID_EST_00400,Derecho,5,1,1,2
ID_EST_00401,Derecho,5,3,5,3
ID_EST_00402,Derecho,5,5,1,4
ID_EST_00403,Derecho,3,2,5,3
ID_EST_00404,Derecho,3,1,5,5
ID_EST_00405,Derecho,2,4,4,1
ID_EST_00406,Derecho,2,5,5,4
ID_EST_00407,Derecho,5,3,4,2
ID_EST_00408,Derecho,1,2,4,5
ID_EST_00409,Derecho,2,5,2,3
ID_EST_00410,Derecho,4,2,3,2
ID_EST_00411,Derecho,2,4,3,2
ID_EST_00412,Derecho,3,2,1,3
ID_EST_00413,Derecho,3,1,2,2
ID_EST_00414,Derecho,2,4,3,1
ID_EST_00415,Derecho,5,1,1,4
ID_EST_00416,Derecho,1,1,4,2
ID_EST_00417,Derecho,3,4,5,5
ID_EST_00418,Derecho,3,1,3,5
ID_EST_00419,Derecho,3,3,5,2
ID_EST_00420,Derecho,1,2,1,1
ID_EST_00421,Derecho,2,3,4,1
ID_EST_00422,Derecho,5,1,5,4
ID_EST_00423,Derecho,2,5,3,1
ID_EST_00424,Derecho,3,4,1,2
ID_EST_00425,Derecho,3,3,2,1
ID_EST_00426,Derecho,5,2,5,2
ID_EST_00427,Derecho,3,5,2,2
ID_EST_00428,Derecho,1,2,3,4
ID_EST_00429,Derecho,2,4,4,1
ID_EST_00430,Derecho,3,2,1,3
ID_EST_00431,Derecho,1,4,4,5
ID_EST_00432,Derecho,2,5,2,2
ID_EST_00433,Derecho,4,1,5,1
ID_EST_00434,Derecho,4,5,4,4
ID_EST_00435,Derecho,4,2,4,2
ID_EST_00436,Derecho,2,1,3,5
ID_EST_00437,Derecho,5,3,1,2
ID_EST_00438,Derecho,2,4,5,1
ID_EST_00439,Derecho,1,5,2,1
ID_EST_00440,Derecho,4,5,1,2
ID_EST_00441,Derecho,4,3,2,1
ID_EST_00442,Derecho,4,5,2,2
ID_EST_00443,Derecho,3,3,4,5
ID_EST_00444,Derecho,4,3,4,5
ID_EST_00445,Derecho,3,5,5,3
ID_EST_00446,Derecho,1,4,3,3
ID_EST_00447,Derecho,2,3,4,3
ID_EST_00448,Derecho,4,2,3,4
ID_EST_00449,Derecho,3,2,3,3
ID_EST_00450,Derecho,3,1,4,5
ID_EST_00451,Derecho,2,2,3,2
ID_EST_00452,Derecho,2,5,3,2
ID_EST_00453,Derecho,3,3,3,5
ID_EST_00454,Derecho,1,1,2,4
ID_EST_00455,Derecho,5,4,5,4
ID_EST_00456,Derecho,2,2,3,4
ID_EST_00457,Derecho,2,5,1,1
ID_EST_00458,Derecho,3,1,4,5
ID_EST_00459,Derecho,5,1,2,2
ID_EST_00460,Derecho,1,5,4,1
ID_EST_00461,Derecho,4,3,1,1
ID_EST_00462,Derecho,3,1,1,2
ID_EST_00463,Derecho,4,2,1,5
ID_EST_00464,Derecho,4,3,4,5
ID_EST_00465,Derecho,2,2,1,3
ID_EST_00466,Derecho,1,2,2,3
ID_EST_00467,Derecho,4,2,4,4
ID_EST_00468,Derecho,1,2,1,4
ID_EST_00469,Derecho,1,2,4,5
ID_EST_00470,Derecho,5,5,2,3
ID_EST_00471,Derecho,4,3,5,2
ID_EST_00472,Derecho,3,2,5,5
ID_EST_00473,Derecho,4,4,2,4
ID_EST_00474,Derecho,2,2,1,5
ID_EST_00475,Derecho,2,2,2,4
ID_EST_00476,Derecho,4,4,4,5
ID_EST_00477,Derecho,1,5,1,1
ID_EST_00478,Derecho,1,4,1,3
ID_EST_00479,Derecho,3,2,5,1
ID_EST_00480,Derecho,2,4,5,4
ID_EST_00481,Derecho,2,2,2,3
ID_EST_00482,Derecho,5,4,3,2
ID_EST_00483,Derecho,2,2,5,4
ID_EST_00484,Derecho,3,3,5,3
ID_EST_00485,Derecho,5,2,2,5
ID_EST_00486,Derecho,5,2,3,1
ID_EST_00487,Derecho,5,4,1,3
ID_EST_00488,Derecho,2,3,4,5
ID_EST_00489,Derecho,2,2,1,2
ID_EST_00490,Derecho,5,4,3,1
ID_EST_00491,Derecho,4,4,2,2
ID_EST_00492,Derecho,1,3,3,2
ID_EST_00493,Derecho,2,3,3,4
ID_EST_00494,Derecho,2,1,1,1
ID_EST_00495,Derecho,1,3,5,1
ID_EST_00496,Derecho,1,4,2,2
ID_EST_00497,Derecho,1,4,5,3
ID_EST_00498,Derecho,1,5,2,4
ID_EST_00499,Derecho,2,3,3,3
ID_EST_00500,Derecho,4,5,2,2
ID_EST_00501,Derecho,3,2,5,1
ID_EST_00502,Derecho,4,1,1,2
ID_EST_00503,Derecho,1,5,2,5
ID_EST_00504,Derecho,5,3,4,5
ID_EST_00505,Derecho,5,2,5,4
ID_EST_00506,Derecho,2,1,1,2
ID_EST_00507,Derecho,3,4,4,4
ID_EST_00508,Derecho,1,3,5,4
ID_EST_00509,Derecho,4,5,2,5
ID_EST_00510,Derecho,1,3,5,1
ID_EST_00511,Derecho,3,4,2,4
ID_EST_00512,Derecho,1,3,5,5
ID_EST_00513,Derecho,4,1,1,3
ID_EST_00514,Derecho,5,4,2,3
ID_EST_00515,Derecho,5,4,1,1
ID_EST_00516,Derecho,5,4,4,2
ID_EST_00517,Derecho,4,2,5,2
ID_EST_00518,Derecho,5,5,2,1
ID_EST_00519,Derecho,4,4,2,5
ID_EST_00520,Derecho,3,2,4,2
ID_EST_00521,Derecho,4,5,4,1
ID_EST_00522,Derecho,2,3,3,3
ID_EST_00523,Derecho,3,2,2,4
ID_EST_00524,Derecho,3,4,4,5
ID_EST_00525,Derecho,5,2,4,2
ID_EST_00526,Derecho,1,2,4,3
ID_EST_00527,Derecho,3,2,5,5
ID_EST_00528,Derecho,4,4,4,2
ID_EST_00529,Derecho,1,2,2,1
ID_EST_00530,Derecho,2,3,3,2
ID_EST_00531,Derecho,5,3,5,4
ID_EST_00532,Derecho,5,4,5,4
ID_EST_00533,Derecho,2,4,5,3
ID_EST_00534,Derecho,1,5,1,1
ID_EST_00535,Derecho,1,3,4,4
ID_EST_00536,Derecho,2,1,1,1
ID_EST_00537,Derecho,5,5,1,5
ID_EST_00538,Derecho,5,5,2,5
ID_EST_00539,Derecho,4,1,2,3
ID_EST_00540,Derecho,5,2,2,5
ID_EST_00541,Derecho,3,3,2,1
ID_EST_00542,Derecho,4,3,4,2
ID_EST_00543,Derecho,2,3,5,3
ID_EST_00544,Derecho,5,3,3,3
ID_EST_00545,Derecho,3,2,4,3
ID_EST_00546,Derecho,2,1,2,3
ID_EST_00547,Derecho,3,2,2,1
ID_EST_00548,Derecho,2,3,1,3
ID_EST_00549,Derecho,1,1,1,5
ID_EST_00550,Derecho,3,2,2,4
ID_EST_00551,Derecho,3,4,1,1
ID_EST_00552,Derecho,5,3,2,4
ID_EST_00553,Derecho,3,1,5,3
ID_EST_00554,Derecho,5,3,1,3
ID_EST_00555,Derecho,5,3,4,2
ID_EST_00556,Derecho,1,2,3,2
ID_EST_00557,Derecho,5,5,3,4
ID_EST_00558,Derecho,4,2,3,1
ID_EST_00559,Derecho,2,3,3,3
ID_EST_00560,Derecho,5,5,2,3
ID_EST_00561,Derecho,4,5,1,4
ID_EST_00562,Derecho,2,3,3,3
ID_EST_00563,Derecho,3,5,3,2
ID_EST_00564,Derecho,2,3,3,1
ID_EST_00565,Derecho,1,4,3,5
ID_EST_00566,Derecho,2,5,3,3
ID_EST_00567,Derecho,1,3,4,5
ID_EST_00568,Derecho,1,3,3,3
ID_EST_00569,Derecho,2,3,5,5
ID_EST_00570,Derecho,1,3,2,5
ID_EST_00571,Derecho,4,4,2,3
ID_EST_00572,Derecho,2,2,5,2
ID_EST_00573,Derecho,2,2,3,4
ID_EST_00574,Derecho,4,1,1,4
ID_EST_00575,Derecho,2,1,5,2
ID_EST_00576,Derecho,1,5,4,3
ID_EST_00577,Derecho,2,2,2,1
ID_EST_00578,Derecho,1,1,2,3
ID_EST_00579,Derecho,5,2,4,1
ID_EST_00580,Derecho,4,4,1,5
ID_EST_00581,Derecho,5,2,2,3
ID_EST_00582,Derecho,5,5,2,5
ID_EST_00583,Derecho,2,5,5,4
ID_EST_00584,Derecho,1,5,5,5
ID_EST_00585,Derecho,5,2,4,5
ID_EST_00586,Derecho,1,4,2,1
ID_EST_00587,Derecho,2,4,5,4
ID_EST_00588,Derecho,2,4,4,3
ID_EST_00589,Derecho,3,2,2,5
ID_EST_00590,Derecho,5,4,3,3
ID_EST_00591,Derecho,4,4,5,1
ID_EST_00592,Derecho,5,1,1,5
ID_EST_00593,Derecho,3,3,4,5
ID_EST_00594,Derecho,2,1,4,1
ID_EST_00595,Derecho,5,4,1,1
ID_EST_00596,Derecho,2,3,5,2
ID_EST_00597,Derecho,1,2,2,2
ID_EST_00598,Derecho,1,2,3,2
ID_EST_00599,Derecho,1,4,5,4
ID_EST_00600,Derecho,5,1,1,1
ID_EST_00601,Derecho,3,3,5,1
ID_EST_00602,Derecho,3,5,4,4
ID_EST_00603,Derecho,1,4,3,2
ID_EST_00604,Derecho,5,2,3,2
ID_EST_00605,Derecho,5,1,1,2
ID_EST_00606,Derecho,4,3,2,2
ID_EST_00607,Derecho,5,5,4,1
ID_EST_00608,Derecho,1,3,2,1
ID_EST_00609,Derecho,1,1,5,4
ID_EST_00610,Derecho,3,1,4,4
ID_EST_00611,Derecho,3,2,2,5
ID_EST_00612,Derecho,1,3,1,4
ID_EST_00613,Derecho,5,3,3,4
ID_EST_00614,Derecho,1,2,3,3
ID_EST_00615,Derecho,5,2,1,5
ID_EST_00616,Derecho,2,1,5,5
ID_EST_00617,Derecho,5,1,2,5
ID_EST_00618,Derecho,5,1,1,4
ID_EST_00619,Derecho,1,2,1,2
ID_EST_00620,Derecho,4,2,1,4
ID_EST_00621,Derecho,5,2,1,4
ID_EST_00622,Derecho,1,3,5,5
ID_EST_00623,Derecho,5,2,5,1
ID_EST_00624,Derecho,1,2,3,2
ID_EST_00625,Derecho,1,2,3,4
ID_EST_00626,Derecho,1,2,2,3
ID_EST_00627,Derecho,5,3,5,1
ID_EST_00628,Derecho,2,1,3,4
ID_EST_00629,Derecho,5,3,5,4
ID_EST_00630,Derecho,5,4,3,2
ID_EST_00631,Derecho,5,1,2,5
ID_EST_00632,Derecho,5,2,3,4
